Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS,Trade Value,Predicted Trade Value (RandomForest)
375,Victor Oladipo,SG,30,10.6,-2.1,0,0.6,0.32326284,0.327102804,0.24,0.393011127,0.537,-0.13,-0.27980051,-0.074745425
522,Mark Williams,C,21,19.8,0.1,0.4,2.8,0.271903323,0.037383178,0.568,0.29391516,0.329,-5.89,-0.001199009,-0.074925319
252,Derrick Jones Jr.,PF,25,13.8,-0.4,0.3,2.4,0.151057402,0.046728972,0.192,0.314673157,0.488,1.37,-0.270948046,-0.089820453
183,Blake Griffin,C,33,13.1,0.1,0.3,1.8,0.123867069,0.140186916,0.304,0.201981919,0.695,6.38,-0.110830861,-0.089997778
106,Cade Cunningham,PG,21,14,-0.7,0.1,-0.1,0.601208459,0.560747664,0.496,0.149965229,0.207,-7.73,-0.088401573,-0.0911504
498,T.J. Warren,PF,29,14.3,-2,0,0.8,0.287009063,0.102803738,0.224,0.176216968,0.549,1.03,-0.367629728,-0.0969021
32,Keita Bates-Diop,PF,27,14.9,-0.6,0.5,2.7,0.29305136,0.140186916,0.296,0.511717663,0.268,-9.82,-0.268295711,-0.097884973
454,Jalen Smith,C,22,15.9,-2.1,0,2.3,0.283987915,0.093457944,0.464,0.450556328,0.427,-2.91,-0.122599001,-0.098321493
179,Javonte Green,SF,29,14.5,1.4,0.4,1.4,0.157099698,0.065420561,0.224,0.171418637,0.488,1.37,-0.264658599,-0.099505083
439,Landry Shamet,SG,25,10.9,-1.4,0.1,1.2,0.262839879,0.214953271,0.136,0.286926287,0.549,2.08,-0.315154462,-0.100050303
448,Jericho Sims,C,24,13.8,-0.5,0.3,2.6,0.102719033,0.046728972,0.376,0.287065369,0.573,2.99,-0.132105392,-0.100915208
36,Malik Beasley,SG,26,10.6,-2.25,0.05,0.7,0.370090634,0.135514019,0.276,0.37199235,0.4875,-0.3,-0.340262944,-0.107298078
512,Aaron Wiggins,SG,24,12.2,-2.1,0,2.6,0.205438066,0.102803738,0.24,0.456710709,0.488,0.96,-0.266880408,-0.11031319
191,Jaden Hardy,SG,20,14.6,-2.3,0,0.7,0.265861027,0.130841121,0.152,0.250625869,0.463,-0.14,-0.394646871,-0.11254496
295,Kenneth Lofton Jr.,PF,20,20.2,-0.4,0.1,0.5,0.151057402,0.074766355,0.168,0.063038943,0.622,3.6,-0.192816139,-0.119487201
430,Dario Šarić,C,28,15.9,-0.2,0.1,0.7,0.223564955,0.08411215,0.264,0.098991655,0.488,0.96,-0.325247387,-0.130389694
462,Edmond Sumner,SG,27,14,-2.6,-0.1,1.3,0.214501511,0.121495327,0.12,0.260048679,0.549,1.03,-0.426396079,-0.134973758
185,Rui Hachimura,PF,24,13.15,-2.25,-0.05,0.9,0.341389728,0.088785047,0.36,0.262291377,0.4755,-0.315,-0.310056311,-0.142382137
490,Dean Wade,PF,26,8.5,-0.7,0.3,1.8,0.141993958,0.074766355,0.272,0.316168289,0.622,5.23,-0.26602226,-0.143225292
354,Mike Muscala,C,31,12.7,-0.65,0.2,1.25,0.182779456,0.070093458,0.26,0.168932545,0.5915,3.67,-0.311098246,-0.143753698
180,Jeff Green,PF,36,11,-3.4,-0.4,1.7,0.235649547,0.112149533,0.208,0.385431154,0.646,3.04,-0.414659574,-0.144724836
155,Wenyen Gabriel,C,25,14.4,-2.2,-0.1,2.8,0.166163142,0.046728972,0.336,0.360605007,0.524,0.43,-0.250177581,-0.145044269
357,Andrew Nembhard,SG,23,10,-3.2,-0.6,1.2,0.287009063,0.420560748,0.216,0.729694019,0.427,-2.91,-0.28971805,-0.147697692
112,Terence Davis,SG,25,12.9,-1.5,0.1,0.9,0.202416918,0.093457944,0.176,0.296279555,0.585,2.3,-0.334223289,-0.148168029
487,Gabe Vincent,PG,26,9,-3.4,-0.6,1.4,0.283987915,0.23364486,0.168,0.619923505,0.537,-0.13,-0.391271755,-0.150353691
458,Lamar Stevens,SF,25,9.5,-2.8,-0.2,1.9,0.160120846,0.046728972,0.264,0.395027816,0.622,5.23,-0.349258583,-0.155377473
337,Davion Mitchell,PG,24,9.4,-2.8,-0.3,1.5,0.16918429,0.214953271,0.104,0.508727399,0.585,2.3,-0.392768572,-0.155427877
80,Vlatko Čančar,PF,25,11,-1.8,0,1.7,0.151057402,0.121495327,0.168,0.313560501,0.646,3.04,-0.331928805,-0.156599309
453,Jabari Smith Jr.,PF,19,11.2,-3.7,-1.1,1.9,0.386706949,0.121495327,0.576,0.862308762,0.268,-7.62,-0.288820138,-0.162217334
194,Gary Harris,SG,28,10.5,-0.7,0.4,2.3,0.250755287,0.112149533,0.16,0.4195758,0.415,-2.39,-0.362571891,-0.162453945
170,Eric Gordon,SG,34,12.25,-1.3,0.05,1.15,0.364048338,0.23364486,0.152,0.350504172,0.4025,-3.655,-0.40706431,-0.164577188
257,DeAndre Jordan,C,34,14.7,-1.8,0,1.4,0.15407855,0.08411215,0.416,0.208275382,0.646,3.04,-0.237744847,-0.166605196
495,Kemba Walker,PG,32,15,-0.3,0.1,0.3,0.241691843,0.196261682,0.144,0.054937413,0.463,-0.14,-0.43664126,-0.167834391
139,Tari Eason,PF,21,15.2,-1.7,0.1,2.6,0.280966767,0.102803738,0.48,0.621175243,0.268,-7.62,-0.171548359,-0.168426572
57,Christian Braun,SG,21,10.3,-2.4,-0.1,1.9,0.141993958,0.074766355,0.192,0.415333797,0.646,3.04,-0.329052816,-0.169909643
418,Jeremiah Robinson-Earl,PF,22,13,-1.5,0.1,1.9,0.205438066,0.093457944,0.336,0.288908206,0.488,0.96,-0.252666193,-0.17433862
355,Svi Mykhailiuk,SF,25,13.8,-0.5,0.2,0.7,0.320241692,0.252336449,0.192,0.155945758,0.329,-5.89,-0.42960465,-0.175382763
211,George Hill,PG,36,9.8,-1.7,0,1.4,0.151057402,0.23364486,0.152,0.238212796,0.707,3.61,-0.375418423,-0.177289525
502,Yuta Watanabe,SF,28,12.1,-0.6,0.3,2.1,0.16918429,0.074766355,0.192,0.327538248,0.549,1.03,-0.298847991,-0.178187982
204,Killian Hayes,PG,21,10.2,-3.8,-1,-0.5,0.311178248,0.579439252,0.232,0.75810153,0.207,-7.73,-0.497758772,-0.180766775
159,Luka Garza,C,24,23,-0.4,0.1,1.1,0.196374622,0.056074766,0.184,0.086821975,0.512,-0.22,-0.203045246,-0.181398521
359,Raul Neto,PG,30,12.6,-0.2,0.2,1.5,0.099697885,0.14953271,0.08,0.178546592,0.622,5.23,-0.330947409,-0.18911116
504,Trendon Watford,PF,22,13.6,-1.8,0.1,2.1,0.223564955,0.196261682,0.304,0.416933241,0.402,-3.96,-0.270621637,-0.193532709
323,Jalen McDaniels,SF,25,12.05,-2.3,-0.05,1.4,0.261329305,0.130841121,0.32,0.339568846,0.494,-0.76,-0.331566899,-0.200096944
358,Aaron Nesmith,SF,23,10.5,-3,-0.4,2,0.305135952,0.121495327,0.304,0.639394993,0.427,-2.91,-0.337696166,-0.201689583
413,Josh Richardson,SG,29,11.75,-1.2,0.15,0.9,0.287009063,0.228971963,0.208,0.273452712,0.39,-4.095,-0.444928072,-0.206472649
39,Patrick Beverley,PG,34,10.1,-0.2,0.3,1.2,0.175226586,0.327102804,0.392,0.219228095,0.488,1.37,-0.240312536,-0.208753403
368,Jordan Nwora,SF,24,12.2,-2.1,0,0.75,0.287009063,0.144859813,0.312,0.212847705,0.567,0.35,-0.317301541,-0.210680741
146,Dorian Finney-Smith,PF,29,8.85,-2.4,0,1.05,0.246223565,0.144859813,0.384,0.358988178,0.506,0.445,-0.382996196,-0.212763515
519,Jaylin Williams,C,20,11.2,-1.7,0.1,1.9,0.178247734,0.14953271,0.392,0.323609179,0.488,0.96,-0.237161201,-0.215309429
39,Patrick Beverley,SG,34,8.3,-1.8,0.1,1.8,0.193353474,0.242990654,0.248,0.42972879,0.524,0.43,-0.3675003,-0.215864749
450,Dennis Smith Jr.,PG,25,11.6,-2.2,-0.1,1.1,0.265861027,0.448598131,0.248,0.491550765,0.329,-5.89,-0.341416824,-0.216713653
493,Ish Wainright,SF,28,9.2,-1.2,0.2,1.7,0.126888218,0.08411215,0.184,0.322774687,0.549,2.08,-0.430388807,-0.216960731
66,Moses Brown,C,23,22.7,-0.4,0.1,1.1,0.13897281,0.009345794,0.328,0.102399166,0.537,0.31,-0.157289692,-0.218010097
399,Taurean Prince,PF,28,10,-3.3,-0.4,1.3,0.274924471,0.14953271,0.192,0.421453408,0.512,-0.22,-0.481779283,-0.21991848
77,Jamal Cain,PF,23,16.5,0.8,0.2,0.8,0.163141994,0.065420561,0.232,0.087378303,0.537,-0.13,-0.280925631,-0.220765402
423,Terrence Ross,SG,31,11.4,-1.3,-0.05,0.8,0.256797583,0.154205607,0.212,0.237639082,0.482,-0.155,-0.449997385,-0.222509479
203,Jaxson Hayes,C,22,13.7,-1.2,0.1,1.5,0.151057402,0.065420561,0.224,0.215924896,0.512,1.63,-0.348964299,-0.224048002
219,Danuel House Jr.,SF,29,9.4,-3,-0.2,1.3,0.145015106,0.074766355,0.136,0.284909597,0.659,4.37,-0.5098167,-0.224617319
171,Devonte' Graham,PG,27,12.7,-0.1,0.3,1.3,0.276435045,0.289719626,0.156,0.239168985,0.39,-4.095,-0.344415805,-0.231420855
473,Matisse Thybulle,SF,25,10,0.1,0.3,1.3,0.081570997,0.046728972,0.104,0.209005563,0.659,4.37,-0.384427702,-0.23480343
400,Payton Pritchard,PG,25,10.3,-3.4,-0.2,0.6,0.16918429,0.121495327,0.144,0.227538248,0.695,6.38,-0.447371043,-0.236302635
440,Day'Ron Sharpe,C,21,17.8,-2.3,0,1.6,0.141993958,0.074766355,0.336,0.195236439,0.549,1.03,-0.237841049,-0.237772483
362,Zeke Nnaji,PF,22,12.5,-3.7,-0.3,1.6,0.157099698,0.028037383,0.208,0.257197497,0.646,3.04,-0.437738014,-0.243611329
34,Darius Bazley,C,22,12.9,-1,0.1,0.9,0.163141994,0.08411215,0.272,0.197635605,0.488,0.96,-0.377958941,-0.243638311
425,Ricky Rubio,PG,32,10.4,-2.8,-0.1,0.7,0.157099698,0.327102804,0.168,0.202086231,0.622,5.23,-0.400208601,-0.245503836
238,Reggie Jackson,PG,32,9.65,-4.4,-0.45,0.35,0.283987915,0.308411215,0.16,0.295305981,0.5915,1.675,-0.520880968,-0.247424492
328,Jordan McLaughlin,PG,26,11.8,-0.7,0.2,1.3,0.111782477,0.317757009,0.112,0.24054242,0.512,-0.22,-0.369689119,-0.248295253
286,Saben Lee,PG,23,13.1,-1.8,0,0.7,0.190332326,0.261682243,0.16,0.131015299,0.549,2.08,-0.363743165,-0.250749487
459,Isaiah Stewart,C,21,13.1,-2.1,0,2,0.341389728,0.130841121,0.648,0.500799722,0.207,-7.73,-0.221176033,-0.257231186
109,Dyson Daniels,PG,19,8.8,-1.8,0,1.3,0.114803625,0.214953271,0.256,0.367767733,0.512,1.63,-0.365545739,-0.258556381
25,Dalano Banton,PG,23,14.9,-0.5,0.1,0.4,0.13897281,0.112149533,0.12,0.099443672,0.5,1.59,-0.437826186,-0.26121208
480,P.J. Tucker,PF,37,5.7,-3,-0.5,2.5,0.105740181,0.074766355,0.312,0.675799722,0.659,4.37,-0.399513823,-0.265907555
420,David Roddy,PF,21,8.8,-3.9,-0.6,1.1,0.202416918,0.074766355,0.224,0.442976356,0.622,3.6,-0.461258835,-0.26649233
174,A.J. Green,SG,23,11.5,-0.9,0.1,0.8,0.132930514,0.056074766,0.104,0.122705146,0.707,3.61,-0.412206175,-0.270094474
441,Shaedon Sharpe,SG,19,11.5,-3.3,-0.6,1.2,0.299093656,0.112149533,0.24,0.625591099,0.402,-3.96,-0.438496309,-0.270623935
407,Cam Reddish,SF,23,10.6,-3.3,-0.15,0.5,0.29305136,0.135514019,0.18,0.180024339,0.4875,-0.485,-0.56278428,-0.271300757
120,Hamidou Diallo,SF,24,15.7,-1.4,0.1,1.3,0.280966767,0.093457944,0.28,0.351808067,0.207,-7.73,-0.469088714,-0.271621384
503,Lindy Waters III,SG,25,11.8,0.1,0.3,1.1,0.157099698,0.065420561,0.144,0.188456189,0.488,0.96,-0.427672192,-0.271671184
4,Ochai Agbaji,SG,22,9.5,-3,-0.3,1.3,0.238670695,0.102803738,0.168,0.426808067,0.451,-1.03,-0.533064489,-0.273817299
430,Dario Šarić,PF,28,12.3,-2,0,0.9,0.175226586,0.140186916,0.304,0.189638387,0.549,2.08,-0.382721751,-0.276997926
429,Luka Šamanić,PF,23,11,-2.1,0,0.2,0.299093656,0.196261682,0.344,0.063282337,0.451,-1.03,-0.45371639,-0.286751334
305,Tre Mann,PG,21,10,-3.9,-0.6,0.5,0.232628399,0.168224299,0.184,0.416794159,0.488,0.96,-0.538488516,-0.287605555
291,Kira Lewis Jr.,PG,21,14.5,-0.3,0.1,0.6,0.13897281,0.08411215,0.104,0.084283727,0.512,1.63,-0.438889266,-0.288774989
258,Cory Joseph,PG,31,12.1,-1.5,0.2,1.8,0.208459215,0.327102804,0.136,0.432823366,0.207,-7.73,-0.531654573,-0.289691567
391,Otto Porter Jr.,SF,29,14,0.7,0.1,0.4,0.166163142,0.093457944,0.192,0.056432545,0.5,1.59,-0.416525036,-0.291983021
538,Cody Zeller,C,30,16.4,-2.8,0,0.7,0.196374622,0.065420561,0.344,0.079798331,0.537,-0.13,-0.427610187,-0.296125749
343,Moses Moody,SG,20,10.3,-2.6,-0.1,1.3,0.145015106,0.074766355,0.136,0.287899861,0.537,1.66,-0.512366238,-0.298818647
132,Goran Dragić,PG,36,10.2,-3.7,-0.3,0.4,0.193353474,0.252336449,0.112,0.278303199,0.488,1.37,-0.648050302,-0.299157697
530,James Wiseman,C,21,16.05,-3,-0.2,0.7,0.296072508,0.065420561,0.464,0.156589013,0.372,-3.035,-0.396378002,-0.305839906
115,Dewayne Dedmon,C,33,15.6,-1.8,0,0.8,0.172205438,0.046728972,0.288,0.125069541,0.537,-0.13,-0.451435687,-0.310621197
50,Brandon Boston Jr.,SF,21,13.4,-2.2,0,0.2,0.196374622,0.08411215,0.112,0.089464534,0.537,0.31,-0.547145455,-0.310948535
366,Kendrick Nunn,SG,27,11.4,-3.3,-0.2,0.1,0.214501511,0.126168224,0.124,0.171696801,0.4755,-0.315,-0.673868325,-0.31900886
272,Christian Koloko,C,22,11.4,-3.5,-0.3,1.7,0.093655589,0.046728972,0.232,0.282962448,0.5,1.59,-0.548975953,-0.320445077
262,Frank Kaminsky,C,29,14.9,2.6,0.2,0.5,0.081570997,0.074766355,0.112,0.06286509,0.5,0.32,-0.414218694,-0.337024085
520,Jeenathan Williams,SG,23,15.5,-3,0,0.3,0.320241692,0.186915888,0.24,0.052294854,0.402,-3.96,-0.502076273,-0.339340879
6,Nickeil Alexander-Walker,SG,24,11.3,-1.25,0.1,0.55,0.18429003,0.163551402,0.136,0.158240612,0.4815,-0.625,-0.518379031,-0.341387235
213,Aaron Holiday,PG,26,9.4,-2,0,0.9,0.117824773,0.130841121,0.096,0.297774687,0.5,0.32,-0.596437782,-0.342257549
505,Peyton Watson,SG,20,12.8,-2.8,0,0.3,0.099697885,0.046728972,0.128,0.066794159,0.646,3.04,-0.54913746,-0.347807814
318,Miles McBride,PG,22,8.4,-2.3,-0.1,0.7,0.105740181,0.102803738,0.064,0.267698192,0.573,2.99,-0.599063284,-0.348662352
422,Derrick Rose,PG,34,10.1,-3.7,-0.1,0,0.16918429,0.158878505,0.12,0.121175243,0.573,2.99,-0.684625529,-0.349674752
414,Austin Rivers,SG,30,7.4,-2.8,-0.2,1.3,0.148036254,0.130841121,0.128,0.359353268,0.512,-0.22,-0.648286918,-0.357340042
473,Matisse Thybulle,SG,25,11,-1.2,0.1,0.9,0.223564955,0.130841121,0.28,0.220688456,0.402,-3.96,-0.502159663,-0.357586732
298,Robin Lopez,C,34,11.6,-3,-0.1,0.6,0.090634441,0.046728972,0.112,0.10608484,0.622,5.23,-0.637449834,-0.357727099
42,Goga Bitadze,C,23,16.8,0.1,0.1,0.7,0.137462236,0.098130841,0.3,0.083031989,0.421,-2.65,-0.379982542,-0.364959883
499,Duane Washington Jr.,SG,22,9.3,-4.6,-0.3,-0.5,0.238670695,0.186915888,0.096,0.140716273,0.549,2.08,-0.697516886,-0.367053903
269,Maxi Kleber,PF,31,8.7,-2.2,0,1.3,0.178247734,0.130841121,0.288,0.331397775,0.463,-0.14,-0.511697054,-0.367126391
315,Wesley Matthews,SF,36,7,-2.7,-0.1,1.2,0.102719033,0.065420561,0.176,0.289916551,0.707,3.61,-0.583093508,-0.369499541
31,Charles Bassey,C,22,18.8,0.6,0.3,1.3,0.172205438,0.121495327,0.44,0.180980529,0.268,-9.82,-0.307218979,-0.370189927
38,Dāvis Bertāns,PF,30,11.9,-1.2,0.1,0.9,0.13897281,0.046728972,0.096,0.174165508,0.463,-0.14,-0.618371269,-0.370584373
333,Patty Mills,PG,34,10.6,-3.1,-0.2,0.4,0.187311178,0.130841121,0.088,0.201390821,0.549,1.03,-0.672009223,-0.37177896
456,Jeremy Sochan,PF,19,11.4,-4,-0.7,0.2,0.332326284,0.23364486,0.424,0.515299026,0.268,-9.82,-0.557175902,-0.380362925
59,Oshae Brissett,PF,24,10.6,-3.2,-0.3,1.1,0.18429003,0.065420561,0.272,0.381675939,0.427,-2.91,-0.589546206,-0.381289256
417,Orlando Robinson,C,22,13.4,-2.1,0,1.1,0.111782477,0.074766355,0.328,0.151842837,0.537,-0.13,-0.42612659,-0.381420616
18,Udoka Azubuike,C,23,16.1,-0.6,0.1,1,0.105740181,0.028037383,0.264,0.127607789,0.451,-1.03,-0.424887139,-0.383452873
30,Will Barton,SG,32,9.95,-2.6,-0.05,0.2,0.18429003,0.163551402,0.176,0.177642559,0.4635,0.265,-0.65278708,-0.384065942
216,Richaun Holmes,C,29,12.9,-2.9,-0.1,0.8,0.093655589,0.018691589,0.152,0.123191933,0.585,2.3,-0.614146358,-0.391354779
55,Malaki Branham,SG,19,9.5,-5.2,-1.3,-0.1,0.3081571,0.177570093,0.216,0.546418637,0.268,-9.82,-0.865559757,-0.391931946
325,JaVale McGee,C,35,17.2,-3.7,-0.1,0.6,0.132930514,0.028037383,0.2,0.12569541,0.463,-0.14,-0.637734727,-0.39629067
211,George Hill,SG,36,14.1,-0.6,0.1,0.5,0.157099698,0.177570093,0.128,0.062273992,0.427,-2.91,-0.606852237,-0.397963913
468,Dalen Terry,SG,20,14.1,0,0.1,0.5,0.066465257,0.056074766,0.08,0.07566064,0.488,1.37,-0.519736181,-0.400430431
498,T.J. Warren,SF,29,11.6,-1.9,0,0.3,0.126888218,0.065420561,0.248,0.072079277,0.549,2.08,-0.566879556,-0.400534784
274,Furkan Korkmaz,SG,25,9.3,-4.4,-0.2,0.1,0.114803625,0.056074766,0.088,0.125347705,0.659,4.37,-0.717497635,-0.40607605
152,Evan Fournier,SG,30,6.9,-4,-0.2,0.1,0.18429003,0.121495327,0.144,0.164812239,0.573,2.99,-0.737636901,-0.407273607
302,Théo Maledon,PG,21,11.6,-2.5,-0.1,0.8,0.202416918,0.327102804,0.224,0.302990264,0.329,-5.89,-0.52336874,-0.409137693
141,Kessler Edwards,SF,22,10,-2.5,0,0.6,0.117824773,0.093457944,0.168,0.110535466,0.585,2.3,-0.571965645,-0.411604731
533,McKinley Wright IV,PG,24,12.4,-2.7,-0.1,0.5,0.126888218,0.196261682,0.136,0.120097357,0.463,-0.14,-0.605881135,-0.412282178
370,Chuma Okeke,SF,24,9.1,-1.6,0.1,0.7,0.141993958,0.130841121,0.288,0.186091794,0.415,-2.39,-0.589506578,-0.412974918
210,Haywood Highsmith,PF,26,8.5,-3.1,-0.3,0.9,0.132930514,0.074766355,0.28,0.342454798,0.537,-0.13,-0.591126101,-0.414009553
37,MarJon Beauchamp,SF,22,8.2,-4.8,-0.5,0.4,0.15407855,0.065420561,0.176,0.247739917,0.707,3.61,-0.629951472,-0.416806974
20,Patrick Baldwin Jr.,SF,20,11.3,-2.1,0,0.1,0.117824773,0.037383178,0.104,0.0804242,0.537,1.66,-0.643755171,-0.41728581
147,Malachi Flynn,PG,24,8.7,-4.1,-0.4,0.5,0.13897281,0.121495327,0.112,0.244089013,0.5,1.59,-0.734631058,-0.418111726
89,Kennedy Chandler,PG,20,10.6,-2.7,0,0.3,0.066465257,0.14953271,0.088,0.099721836,0.622,3.6,-0.575271992,-0.421431485
226,Serge Ibaka,C,33,9.8,-4.5,-0.1,0.2,0.123867069,0.028037383,0.224,0.067663421,0.707,3.61,-0.689443594,-0.422503662
87,Julian Champagnie,SF,21,13.8,-3,-0.1,0.4,0.332326284,0.065420561,0.32,0.115403338,0.268,-9.82,-0.686134331,-0.424429227
